,Rev_id,Retailer,Division,Category,Department,Product_URL,Brand,Final_Price_after_Discount,Review_Link,Review_Creation_Date,Review_Rating_Score,preprocessed_review_text,preprocessed_product_name,preprocessed_review_header
0,1,Homedepot,lighting,ceiling_fans,ceiling_fans_with_lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,hampton_bay,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=991&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,2018-04-24,1,excellent fan excellent price,rockport_52_led_brushed_nickel_ceiling_fan_light_kit,excellent fan excellent price
1,2,Homedepot,lighting,ceiling_fans,ceiling_fans_with_lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,hampton_bay,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=11&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,2019-10-15,1,put fans spec houses everyone likes like price value buy longer downtube vaulted ceilings,rockport_52_led_brushed_nickel_ceiling_fan_light_kit,put fans spec houses everyone
2,3,Homedepot,lighting,ceiling_fans,ceiling_fans_with_lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,hampton_bay,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=281&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,2019-07-03,1,rating provided verified purchaser,rockport_52_led_brushed_nickel_ceiling_fan_light_kit,5 star review
3,4,Homedepot,lighting,ceiling_fans,ceiling_fans_with_lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,hampton_bay,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=611&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,2019-01-17,1,easy put together 3rd purchase brand 3 rooms fan love,rockport_52_led_brushed_nickel_ceiling_fan_light_kit,easy put together 3rd purchase
4,5,Homedepot,lighting,ceiling_fans,ceiling_fans_with_lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,hampton_bay,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=511&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,2019-02-09,1,fan easily install beautiful model,rockport_52_led_brushed_nickel_ceiling_fan_light_kit,fan easily install
5,6,Homedepot,lighting,ceiling_fans,ceiling_fans_with_lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,hampton_bay,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=201&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,2019-09-17,1,easy install quite cools rooms perfectly no swaying lights rooms well,rockport_52_led_brushed_nickel_ceiling_fan_light_kit,easy install quite cools rooms perfectly no swaying
6,7,Homedepot,lighting,ceiling_fans,ceiling_fans_with_lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,hampton_bay,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=11&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,2019-11-27,1,rating provided verified purchaser,rockport_52_led_brushed_nickel_ceiling_fan_light_kit,rating provided verified purchaser
7,8,Homedepot,lighting,ceiling_fans,ceiling_fans_with_lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,hampton_bay,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=711&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,2018-10-02,1,expecting something wow definitely worth money,rockport_52_led_brushed_nickel_ceiling_fan_light_kit,expecting something wow definitely
8,9,Homedepot,lighting,ceiling_fans,ceiling_fans_with_lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,hampton_bay,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=301&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,2019-06-25,1,nice looking fan l e lights wonderfully bright compared old fan used 60w bulbs runs quietly not even realize breeze way not install electrician took 15 minutes included putting new one together taking old one neatly packing,rockport_52_led_brushed_nickel_ceiling_fan_light_kit,nice looking fan l e lights wonderfully bright compared
9,10,Homedepot,lighting,ceiling_fans,ceiling_fans_with_lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,hampton_bay,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=771&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,2018-09-04,1,great fan moves lots air breeze assemble install liked much bought second one,rockport_52_led_brushed_nickel_ceiling_fan_light_kit,great fan moves lots air breeze assemble install liked much b
